w	gain	V(onoise)
1.383470822705721e+06	1.574144e-01	5.965965e-11
1.386660052325886e+06	1.570617e-01	5.952597e-11
1.389856633879610e+06	1.567097e-01	5.939259e-11
1.393060584314850e+06	1.563585e-01	5.925948e-11
1.396271920618634e+06	1.560081e-01	5.912665e-11
1.399490659817146e+06	1.556584e-01	5.899411e-11
1.402716818975821e+06	1.553094e-01	5.886185e-11
1.405950415199435e+06	1.549612e-01	5.872987e-11
1.409191465632191e+06	1.546137e-01	5.859817e-11
1.412439987457818e+06	1.542669e-01	5.846675e-11
1.415695997899653e+06	1.539209e-01	5.833561e-11
1.418959514220742e+06	1.535756e-01	5.820475e-11
1.422230553723921e+06	1.532311e-01	5.807416e-11
1.425509133751918e+06	1.528873e-01	5.794386e-11
1.428795271687436e+06	1.525442e-01	5.781383e-11
1.432088984953253e+06	1.522019e-01	5.768409e-11
1.435390291012308e+06	1.518603e-01	5.755461e-11
1.438699207367797e+06	1.515194e-01	5.742542e-11
1.442015751563265e+06	1.511793e-01	5.729650e-11
1.445339941182700e+06	1.508398e-01	5.716785e-11
1.448671793850624e+06	1.505011e-01	5.703948e-11
1.452011327232187e+06	1.501632e-01	5.691139e-11
1.455358559033265e+06	1.498259e-01	5.678357e-11
1.458713507000545e+06	1.494894e-01	5.665602e-11
1.462076188921629e+06	1.491535e-01	5.652875e-11
1.465446622625122e+06	1.488184e-01	5.640174e-11
1.468824825980727e+06	1.484841e-01	5.627501e-11
1.472210816899342e+06	1.481504e-01	5.614855e-11
1.475604613333154e+06	1.478175e-01	5.602236e-11
1.479006233275734e+06	1.474852e-01	5.589645e-11
1.482415694762132e+06	1.471537e-01	5.577080e-11
1.485833015868973e+06	1.468229e-01	5.564542e-11
1.489258214714555e+06	1.464928e-01	5.552031e-11
1.492691309458940e+06	1.461634e-01	5.539547e-11
1.496132318304054e+06	1.458347e-01	5.527090e-11
1.499581259493785e+06	1.455067e-01	5.514659e-11
1.503038151314075e+06	1.451795e-01	5.502255e-11
1.506503012093020e+06	1.448529e-01	5.489878e-11
1.509975860200967e+06	1.445270e-01	5.477527e-11
1.513456714050612e+06	1.442018e-01	5.465203e-11
1.516945592097094e+06	1.438774e-01	5.452905e-11
1.520442512838098e+06	1.435536e-01	5.440634e-11
1.523947494813950e+06	1.432305e-01	5.428389e-11
1.527460556607715e+06	1.429081e-01	5.416171e-11
1.530981716845297e+06	1.425864e-01	5.403979e-11
1.534510994195537e+06	1.422654e-01	5.391813e-11
1.538048407370312e+06	1.419451e-01	5.379673e-11
1.541593975124635e+06	1.416255e-01	5.367560e-11
1.545147716256753e+06	1.413066e-01	5.355472e-11
1.548709649608247e+06	1.409884e-01	5.343411e-11
1.552279794064135e+06	1.406708e-01	5.331376e-11
1.555858168552966e+06	1.403539e-01	5.319366e-11
1.559444792046925e+06	1.400378e-01	5.307383e-11
1.563039683561934e+06	1.397223e-01	5.295426e-11
1.566642862157749e+06	1.394074e-01	5.283494e-11
1.570254346938065e+06	1.390933e-01	5.271588e-11
1.573874157050614e+06	1.387798e-01	5.259708e-11
1.577502311687269e+06	1.384671e-01	5.247853e-11
1.581138830084145e+06	1.381550e-01	5.236024e-11
1.584783731521701e+06	1.378435e-01	5.224221e-11
1.588437035324841e+06	1.375328e-01	5.212443e-11
1.592098760863017e+06	1.372227e-01	5.200691e-11
1.595768927550335e+06	1.369133e-01	5.188964e-11
1.599447554845653e+06	1.366045e-01	5.177262e-11
1.603134662252687e+06	1.362964e-01	5.165586e-11
1.606830269320113e+06	1.359890e-01	5.153935e-11
1.610534395641671e+06	1.356823e-01	5.142310e-11
1.614247060856272e+06	1.353762e-01	5.130709e-11
1.617968284648095e+06	1.350708e-01	5.119134e-11
1.621698086746700e+06	1.347660e-01	5.107584e-11
1.625436486927125e+06	1.344620e-01	5.096059e-11
1.629183505009997e+06	1.341585e-01	5.084559e-11
1.632939160861632e+06	1.338557e-01	5.073084e-11
1.636703474394144e+06	1.335536e-01	5.061633e-11
